id,latitude,longitude,images,marineLife,maximumDepth,title,travelUrl,types
11348,-4.337433333333333,39.58018333333334,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/8a/5b/8a5be79079f6cbf10cbe323e9d7e7cd3.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/24/25/64/2077/igloo-dive-site-map.jpg'}]","['Batfish', 'Common dolphin', 'Octopus', 'Squid', 'Ribbon Eel', 'Moray Eels', 'Ghost Pipe Fish', 'Snake Eel', 'Leaf fish', 'Green Turtle']","{'FEET': {'value': 65.6168, 'title': 'Feet'}, 'METERS': {'value': 20.0, 'title': 'Meters'}}",Igloo,/dive-site/kenya/igloo/,['Ocean']
11349,-4.331216666666666,39.58433333333333,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/21/bc/21bc508f706c967171a17514b236547f.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/d4/32/53/65fc/alpha-funguo-wreck-dive-site-map.jpg'}, {'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/37/df/37dffcef03cddad026537789d11f3390.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/b8/31/37/bc97/alpha-funguo-wreck-dive-site-map.jpg'}]","['Napoleon fish', 'Barracuda', 'Grouper', 'Eagle ray', 'Jack Species', 'Green Turtle']","{'FEET': {'value': 101.70604, 'title': 'Feet'}, 'METERS': {'value': 31.0, 'title': 'Meters'}}",MV Alpha Funguo,/dive-site/kenya/mv-alpha-funguo/,['Wreck']
11352,-4.2808,39.60175,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/dd/f8/ddf866cc6ece4873ead66b633ee1f7e0.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/19/81/4a/b6fa/mwanamoji-dive-site-map.jpg'}, {'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/e2/e7/e2e7dc0d6f8ff7f3846d80c5f3616f25.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/9a/ac/1f/27b8/mwanamoji-dive-site-map.jpg'}]",['Sea turtle'],"{'FEET': {'value': 65.6168, 'title': 'Feet'}, 'METERS': {'value': 20.0, 'title': 'Meters'}}",Mwanamoji,/dive-site/kenya/mwanamoji/,"['Drift', 'Reef', 'Ocean']"
11445,-4.25335,39.609766666666665,,,,,,
11446,-4.379866666666667,39.57155,,,,,,
11447,-4.327233333333333,39.58361666666667,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/2a/46/2a46ac99fceb62566633720e4aaf950f.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/94/57/aa/8f2f/kisima-mungu-dive-site-map.jpg'}, {'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/70/c5/70c5cb68456d05cc184fe5f791302ddd.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/0f/8e/12/f7be/kisima-mungu-dive-site-map.jpg'}]","['Guitar shark', 'Hawksbill turtle', 'Moray eel', 'Green Turtle']","{'FEET': {'value': 78.74016, 'title': 'Feet'}, 'METERS': {'value': 24.0, 'title': 'Meters'}}",Kisima Mungu,/dive-site/kenya/kisima-mungu/,['Ocean']
11449,-4.350391,39.576831,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/d8/fa/d8fad50f9a7ccede84c4ee345ab9c825.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/7c/1f/b3/72b3/galu-dive-site-map.jpg'}, {'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/38/bc/38bc41bbcff77a1b7493385951cfcd45.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/5d/3b/42/0741/screenshot-2021-03-02-at-13-06-53.png'}]",[],"{'FEET': {'value': 98.4252, 'title': 'Feet'}, 'METERS': {'value': 30.0, 'title': 'Meters'}}",Galu,/dive-site/kenya/galu/,"['Pinnacle', 'Reef', 'Ocean']"
11728,-7.9318626713049944,39.78896141052246,,,,,,
11818,-7.937515766559197,39.78286743164063,,,,,,
11819,-7.955537144808848,39.80209350585938,,,,,,
11820,-7.923659169320295,39.791278839111335,,,,,,
11821,-7.90266086029984,39.84586715698243,,,,,,
11822,-7.921916435404384,39.828958511352546,,,,,,
11823,-7.886507587818575,39.85427856445313,,,,,,
11824,-7.876305195867617,39.85758304595948,,,,,,
11825,-7.858620454636446,39.871444702148445,,,,,,
11826,-7.90763424066298,39.84239101409913,,,,,,
11827,-7.961997446108489,39.822006225585945,,,,,,
11828,-7.948651711624364,39.53468799591065,,,,,,
11832,-7.940491048618134,39.78363990783692,,,,,,
12358,-6.327412393115435,39.253807067871094,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/0e/7c/0e7c02c88f2bfc252f5bb945bf4c0baa.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/fc/22/e2/2c25/mnembe-1.jpeg'}, {'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/06/4c/064ce7be954c1f401e525cee8c52abb9.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/2d/c3/93/56db/288475013-2195550100596963-6678570925175920549-n.jpg'}]",[],"{'FEET': {'value': 72.17848, 'title': 'Feet'}, 'METERS': {'value': 22.0, 'title': 'Meters'}}",Ukumbe reef,/dive-site/tanzania/ukumbe-reef/,"['Reef', 'Ocean']"
